seed_file_name,total_distincet_infected_nodes,total_males_in_casc,total_females_in_cas,males_fraction_in_casc,females_fraction_in_casc,fairness_score_value
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_1b.txt,960113,670090,290023,0.6979,0.3021,0.85
../Data/Weibo/Seeds/final_seeds_5g_05a_250s_5b.txt,848686,608038,240648,0.7164,0.2836,0.7773
../Data/Weibo/Seeds/final_seeds_5g_05a_750s_7b.txt,982054,679991,302063,0.6924,0.3076,0.8724
../Data/Weibo/Seeds/final_seeds_5g_05a_1000s_1b.txt,1009652,694460,315192,0.6878,0.3122,0.8914
../Data/Weibo/Seeds/final_seeds_5g_05a_1000s_3b.txt,1013688,696447,317241,0.687,0.313,0.8946
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_5b.txt,902063,640360,261703,0.7099,0.2901,0.8026
../Data/Weibo/Seeds/final_seeds_5g_05a_1250s_0_5b.txt,1023038,700953,322085,0.6852,0.3148,0.9024
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_3b.txt,973629,676602,297027,0.6949,0.3051,0.8622
../Data/Weibo/Seeds/final_seeds_5g_05a_1000s_5b.txt,1016575,697516,319059,0.6861,0.3139,0.8984
../Data/Weibo/Seeds/final_seeds_5g_05a_1250s_0_1b.txt,1022646,700680,321966,0.6852,0.3148,0.9024
../Data/Weibo/Seeds/final_seeds_5g_05a_1000s_7b.txt,1006585,692152,314433,0.6876,0.3124,0.8922
../Data/Weibo/Seeds/final_seeds_5g_05a_750s_1b.txt,975194,677470,297724,0.6947,0.3053,0.8631
../Data/Weibo/Seeds/final_seeds_5g_05a_1250s_7b.txt,1004818,691227,313591,0.6879,0.3121,0.891
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_0_5b.txt,967407,673712,293695,0.6964,0.3036,0.8562
../Data/Weibo/Seeds/final_seeds_5g_05a_1000s_0_1b.txt,1010285,694808,315477,0.6877,0.3123,0.8917
../Data/Weibo/Seeds/final_seeds_5g_05a_250s_3b.txt,809206,588393,220813,0.7271,0.2729,0.737
../Data/Weibo/Seeds/final_seeds_5g_05a_750s_0_1b.txt,993526,686683,306843,0.6912,0.3088,0.8776
../Data/Weibo/Seeds/final_seeds_5g_05a_750s_3b.txt,992035,685602,306433,0.6911,0.3089,0.8778
../Data/Weibo/Seeds/final_seeds_5g_05a_250s_0_1b.txt,893944,634881,259063,0.7102,0.2898,0.8014
../Data/Weibo/Seeds/final_seeds_5g_05a_250s_0_5b.txt,894554,634946,259608,0.7098,0.2902,0.803
../Data/Weibo/Seeds/final_seeds_5g_05a_1250s_5b.txt,1023160,700789,322371,0.6849,0.3151,0.9034
../Data/Weibo/Seeds/final_seeds_5g_05a_250s_1b.txt,901953,638834,263119,0.7083,0.2917,0.8089
../Data/Weibo/Seeds/final_seeds_5g_05a_1250s_3b.txt,1026630,702557,324073,0.6843,0.3157,0.9059
../Data/Weibo/Seeds/final_seeds_5g_05a_250s_7b.txt,793179,578180,214999,0.7289,0.2711,0.7303
../Data/Weibo/Seeds/final_seeds_5g_05a_750s_0_5b.txt,930292,655886,274406,0.705,0.295,0.8217
../Data/Weibo/Seeds/final_seeds_5g_05a_1000s_0_5b.txt,1010848,695012,315836,0.6876,0.3124,0.8925
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_7b.txt,969645,673560,296085,0.6946,0.3054,0.8633
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_0_1b.txt,927850,654997,272853,0.7059,0.2941,0.8181
../Data/Weibo/Seeds/final_seeds_5g_05a_1250s_1b.txt,1022953,700950,322003,0.6852,0.3148,0.9022
../Data/Weibo/Seeds/final_seeds_5g_05a_750s_5b.txt,987248,683119,304129,0.6919,0.3081,0.8744
