seed_file_name,total_distincet_infected_nodes,total_males_in_casc,total_females_in_cas,males_fraction_in_casc,females_fraction_in_casc,fairness_score_value
../Data/Weibo/Seeds/final_seeds_5g_05a_200s_0_5b.txt,907208,391114,516094,0.4311,0.5689,0.3859
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_1b.txt,990608,432131,558477,0.4362,0.5638,0.394
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_1b.txt,809195,336927,472268,0.4164,0.5836,0.3633
../Data/Weibo/Seeds/final_seeds_5g_05a_400s_1b.txt,955629,415145,540484,0.4344,0.5656,0.3911
../Data/Weibo/Seeds/final_seeds_5g_05a_300s_1b.txt,930269,400897,529372,0.4309,0.5691,0.3856
../Data/Weibo/Seeds/final_seeds_5g_05a_400s_0_1b.txt,973564,422650,550914,0.4341,0.5659,0.3906
../Data/Weibo/Seeds/final_seeds_5g_05a_400s_7b.txt,865626,377233,488393,0.4358,0.5642,0.3933
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_5b.txt,740963,321173,419790,0.4335,0.5665,0.3896
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_3b.txt,806051,349550,456501,0.4337,0.5663,0.3899
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_0_5b.txt,829843,353109,476734,0.4255,0.5745,0.3771
../Data/Weibo/Seeds/final_seeds_5g_05a_300s_5b.txt,564473,247732,316741,0.4389,0.5611,0.3982
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_0_1b.txt,776641,316629,460012,0.4077,0.5923,0.3505
../Data/Weibo/Seeds/final_seeds_5g_05a_200s_0_1b.txt,251001,111387,139614,0.4438,0.5562,0.4062
../Data/Weibo/Seeds/final_seeds_5g_05a_200s_7b.txt,596158,261342,334816,0.4384,0.5616,0.3974
../Data/Weibo/Seeds/final_seeds_5g_05a_300s_7b.txt,913085,398582,514503,0.4365,0.5635,0.3945
../Data/Weibo/Seeds/final_seeds_5g_05a_200s_1b.txt,908080,391150,516930,0.4307,0.5693,0.3853
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_0_5b.txt,988173,430547,557626,0.4357,0.5643,0.3931
../Data/Weibo/Seeds/final_seeds_5g_05a_300s_3b.txt,778526,336671,441855,0.4324,0.5676,0.388
../Data/Weibo/Seeds/final_seeds_5g_05a_200s_5b.txt,660213,286008,374205,0.4332,0.5668,0.3892
../Data/Weibo/Seeds/final_seeds_5g_05a_400s_5b.txt,686256,293679,392577,0.4279,0.5721,0.3809
../Data/Weibo/Seeds/final_seeds_5g_05a_300s_0_5b.txt,936159,405032,531127,0.4327,0.5673,0.3883
../Data/Weibo/Seeds/final_seeds_5g_05a_300s_0_1b.txt,942228,406846,535382,0.4318,0.5682,0.3869
../Data/Weibo/Seeds/final_seeds_5g_05a_400s_3b.txt,970046,424358,545688,0.4375,0.5625,0.396
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_3b.txt,838891,358440,480451,0.4273,0.5727,0.3799
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_5b.txt,401989,174961,227028,0.4352,0.5648,0.3924
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_7b.txt,857129,373280,483849,0.4355,0.5645,0.3928
../Data/Weibo/Seeds/final_seeds_5g_05a_200s_3b.txt,874165,378428,495737,0.4329,0.5671,0.3887
../Data/Weibo/Seeds/final_seeds_5g_05a_400s_0_5b.txt,955280,414322,540958,0.4337,0.5663,0.39
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_0_1b.txt,958902,415636,543266,0.4334,0.5666,0.3896
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_7b.txt,652261,276148,376113,0.4234,0.5766,0.3738
