index,seed_file_name,total_distincet_infected_nodes,total_males_in_casc,total_females_in_cas,males_fraction_in_casc,females_fraction_in_casc,fairness_score_value,seed_length,objective_value
21,../Data/Weibo/Seeds/final_seeds_5g_05a_20s_3b.txt,323997,253578,70419,0.7827,0.2173,0.5454,20,0.4933
23,../Data/Weibo/Seeds/final_seeds_5g_05a_20s_5b.txt,373367,293283,80084,0.7855,0.2145,0.5363,20,0.5222
20,../Data/Weibo/Seeds/final_seeds_5g_05a_20s_0_5b.txt,400512,311571,88941,0.7779,0.2221,0.5606,20,0.5527
7,../Data/Weibo/Seeds/final_seeds_5g_05a_20s_0_1b.txt,413052,323070,89982,0.7822,0.2178,0.547,20,0.5544
24,../Data/Weibo/Seeds/final_seeds_5g_05a_20s_7b.txt,395799,306470,89329,0.7743,0.2257,0.5724,20,0.5555
1,../Data/Weibo/Seeds/final_seeds_5g_05a_20s_1b.txt,443266,345575,97691,0.7796,0.2204,0.5552,20,0.579
8,../Data/Weibo/Seeds/final_seeds_5g_05a_40s_7b.txt,311935,244463,67472,0.7837,0.2163,0.5421,40,0.4639
15,../Data/Weibo/Seeds/final_seeds_5g_05a_40s_3b.txt,497447,383391,114056,0.7707,0.2293,0.5843,40,0.5973
13,../Data/Weibo/Seeds/final_seeds_5g_05a_40s_0_1b.txt,527077,405434,121643,0.7692,0.2308,0.5892,40,0.6177
14,../Data/Weibo/Seeds/final_seeds_5g_05a_40s_1b.txt,530836,407399,123437,0.7675,0.2325,0.5951,40,0.623
10,../Data/Weibo/Seeds/final_seeds_5g_05a_40s_0_5b.txt,566567,426788,139779,0.7533,0.2467,0.6432,40,0.669
19,../Data/Weibo/Seeds/final_seeds_5g_05a_40s_5b.txt,567258,426418,140840,0.7517,0.2483,0.6487,40,0.6722
28,../Data/Weibo/Seeds/final_seeds_5g_05a_60s_7b.txt,538775,410486,128289,0.7619,0.2381,0.6138,60,0.6192
11,../Data/Weibo/Seeds/final_seeds_5g_05a_60s_5b.txt,601639,450644,150995,0.7490000000000001,0.251,0.6581,60,0.6776
2,../Data/Weibo/Seeds/final_seeds_5g_05a_60s_1b.txt,619970,463885,156085,0.7482,0.2518,0.6608,60,0.6894
3,../Data/Weibo/Seeds/final_seeds_5g_05a_60s_3b.txt,618442,461930,156512,0.7469,0.2531,0.6654,60,0.6909
4,../Data/Weibo/Seeds/final_seeds_5g_05a_60s_0_1b.txt,626760,468287,158473,0.7472,0.2528,0.6646,60,0.6952
25,../Data/Weibo/Seeds/final_seeds_5g_05a_60s_0_5b.txt,634887,473648,161239,0.746,0.254,0.6686,60,0.7019
16,../Data/Weibo/Seeds/final_seeds_5g_05a_80s_7b.txt,480606,369181,111425,0.7682,0.2318,0.5928,80,0.5663
17,../Data/Weibo/Seeds/final_seeds_5g_05a_80s_0_5b.txt,660833,491012,169821,0.743,0.257,0.6793,80,0.7097
18,../Data/Weibo/Seeds/final_seeds_5g_05a_80s_3b.txt,665058,493594,171464,0.7422,0.2578,0.6822,80,0.7135
5,../Data/Weibo/Seeds/final_seeds_5g_05a_80s_5b.txt,666776,494170,172606,0.7411,0.2589,0.6859999999999999,80,0.7164
9,../Data/Weibo/Seeds/final_seeds_5g_05a_80s_1b.txt,670658,497712,172946,0.7421,0.2579,0.6824,80,0.7167
22,../Data/Weibo/Seeds/final_seeds_5g_05a_80s_0_1b.txt,683277,505793,177484,0.7402,0.2598,0.6892,80,0.7272
29,../Data/Weibo/Seeds/final_seeds_5g_05a_100s_7b.txt,678220,500679,177541,0.7382,0.2618,0.6964,100,0.72
27,../Data/Weibo/Seeds/final_seeds_5g_05a_100s_5b.txt,694697,512629,182068,0.7379,0.2621,0.6975,100,0.7295
26,../Data/Weibo/Seeds/final_seeds_5g_05a_100s_3b.txt,698345,515042,183303,0.7375,0.2625,0.6990000000000001,100,0.7322
12,../Data/Weibo/Seeds/final_seeds_5g_05a_100s_0_1b.txt,707005,520984,186021,0.7369,0.2631,0.7012,100,0.738
0,../Data/Weibo/Seeds/final_seeds_5g_05a_100s_1b.txt,708967,522587,186380,0.7371,0.2629,0.7004,100,0.7387
6,../Data/Weibo/Seeds/final_seeds_5g_05a_100s_0_5b.txt,711687,523811,187876,0.736,0.264,0.7044,100,0.7422
