seed_file_name,total_distincet_infected_nodes,total_males_in_casc,total_females_in_cas,males_fraction_in_casc,females_fraction_in_casc,fairness_score_value
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_1b.txt,735232,538862,196370,0.7329,0.2671,0.7157
../Data/Weibo/Seeds/final_seeds_5g_05a_250s_5b.txt,635195,473170,162025,0.7449,0.2551,0.6725
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_1b.txt,708967,522587,186380,0.7371,0.2629,0.7004
../Data/Weibo/Seeds/final_seeds_5g_05a_20s_1b.txt,443266,345575,97691,0.7796,0.2204,0.5552
../Data/Weibo/Seeds/final_seeds_5g_05a_750s_7b.txt,744762,543965,200797,0.7304,0.2696,0.725
../Data/Weibo/Seeds/final_seeds_5g_05a_60s_1b.txt,619970,463885,156085,0.7482,0.2518,0.6608
../Data/Weibo/Seeds/final_seeds_5g_05a_60s_3b.txt,618442,461930,156512,0.7469,0.2531,0.6654
../Data/Weibo/Seeds/final_seeds_5g_05a_60s_0_1b.txt,626760,468287,158473,0.7472,0.2528,0.6646
../Data/Weibo/Seeds/final_seeds_5g_05a_1000s_1b.txt,775733,563805,211928,0.7268,0.2732,0.7382
../Data/Weibo/Seeds/final_seeds_5g_05a_80s_5b.txt,666776,494170,172606,0.7411,0.2589,0.686
../Data/Weibo/Seeds/final_seeds_5g_05a_1000s_3b.txt,786469,570117,216352,0.7249,0.2751,0.7453
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_5b.txt,611597,461421,150176,0.7545,0.2455,0.6392
../Data/Weibo/Seeds/final_seeds_5g_05a_1250s_0_5b.txt,795187,575482,219705,0.7237,0.2763,0.7498
../Data/Weibo/Seeds/final_seeds_5g_05a_500s_3b.txt,747835,546385,201450,0.7306,0.2694,0.7241
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_0_5b.txt,711687,523811,187876,0.736,0.264,0.7044
../Data/Weibo/Seeds/final_seeds_5g_05a_1000s_5b.txt,788078,570912,217166,0.7244,0.2756,0.7471
../Data/Weibo/Seeds/final_seeds_5g_05a_1250s_0_1b.txt,791327,573188,218139,0.7243,0.2757,0.7474
../Data/Weibo/Seeds/final_seeds_5g_05a_20s_0_1b.txt,413052,323070,89982,0.7822,0.2178,0.547
