seed_file_name,total_distincet_infected_nodes,total_males_in_casc,total_females_in_cas,males_fraction_in_casc,females_fraction_in_casc,fairness_score_value
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_1b.txt,774104,331940,442164,0.4288,0.5712,0.3822
../Data/Weibo/Seeds/final_seeds_5g_05a_20s_1b.txt,466454,192079,274375,0.4118,0.5882,0.3565
../Data/Weibo/Seeds/final_seeds_5g_05a_60s_1b.txt,740120,315540,424580,0.4263,0.5737,0.3784
../Data/Weibo/Seeds/final_seeds_5g_05a_60s_3b.txt,753844,324482,429362,0.4304,0.5696,0.3848
../Data/Weibo/Seeds/final_seeds_5g_05a_60s_0_1b.txt,746490,315417,431073,0.4225,0.5775,0.3726
../Data/Weibo/Seeds/final_seeds_5g_05a_80s_5b.txt,703937,308114,395823,0.4377,0.5623,0.3963
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_0_5b.txt,812952,350591,462361,0.4313,0.5687,0.3861
../Data/Weibo/Seeds/final_seeds_5g_05a_20s_0_1b.txt,601787,245538,356249,0.408,0.592,0.3509
../Data/Weibo/Seeds/final_seeds_5g_05a_40s_7b.txt,731993,315923,416070,0.4316,0.5684,0.3866
../Data/Weibo/Seeds/final_seeds_5g_05a_80s_1b.txt,789866,335669,454197,0.425,0.575,0.3763
../Data/Weibo/Seeds/final_seeds_5g_05a_40s_0_5b.txt,695615,290734,404881,0.418,0.582,0.3656
../Data/Weibo/Seeds/final_seeds_5g_05a_60s_5b.txt,599583,249530,350053,0.4162,0.5838,0.363
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_0_1b.txt,809708,346478,463230,0.4279,0.5721,0.3808
../Data/Weibo/Seeds/final_seeds_5g_05a_40s_0_1b.txt,692297,288020,404277,0.416,0.584,0.3628
../Data/Weibo/Seeds/final_seeds_5g_05a_40s_1b.txt,684399,284821,399578,0.4162,0.5838,0.3629
../Data/Weibo/Seeds/final_seeds_5g_05a_40s_3b.txt,731335,312492,418843,0.4273,0.5727,0.3799
../Data/Weibo/Seeds/final_seeds_5g_05a_80s_7b.txt,478876,204972,273904,0.428,0.572,0.381
../Data/Weibo/Seeds/final_seeds_5g_05a_80s_0_5b.txt,761662,321440,440222,0.422,0.578,0.3718
../Data/Weibo/Seeds/final_seeds_5g_05a_80s_3b.txt,789876,340534,449342,0.4311,0.5689,0.3859
../Data/Weibo/Seeds/final_seeds_5g_05a_40s_5b.txt,558338,234539,323799,0.4201,0.5799,0.3688
../Data/Weibo/Seeds/final_seeds_5g_05a_20s_0_5b.txt,604262,250292,353970,0.4142,0.5858,0.36
../Data/Weibo/Seeds/final_seeds_5g_05a_20s_3b.txt,608676,248043,360633,0.4075,0.5925,0.3502
../Data/Weibo/Seeds/final_seeds_5g_05a_80s_0_1b.txt,787510,337624,449886,0.4287,0.5713,0.3821
../Data/Weibo/Seeds/final_seeds_5g_05a_20s_5b.txt,642012,271023,370989,0.4221,0.5779,0.372
../Data/Weibo/Seeds/final_seeds_5g_05a_20s_7b.txt,547422,232960,314462,0.4256,0.5744,0.3772
../Data/Weibo/Seeds/final_seeds_5g_05a_60s_0_5b.txt,760034,326304,433730,0.4293,0.5707,0.3831
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_3b.txt,768814,330425,438389,0.4298,0.5702,0.3838
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_5b.txt,591182,254297,336885,0.4302,0.5698,0.3844
../Data/Weibo/Seeds/final_seeds_5g_05a_60s_7b.txt,628638,262448,366190,0.4175,0.5825,0.3649
../Data/Weibo/Seeds/final_seeds_5g_05a_100s_7b.txt,727760,319890,407870,0.4396,0.5604,0.3993
